Title,Summary,EventDate,DatePrecision,Category,Importance,SourceType,SourceKey,SourceUrl
"Queen at Apollo Theatre, Glasgow, UK","Queen performed at Apollo Theatre in Glasgow, UK.",1973-11-23,ExactDate,Concert,30,Curated,queenconcerts-56,https://www.queenconcerts.com/detail/live/56/queen-live-23-11-1973-apollo-theatre-glasgow-uk.html
"Queen at Caley Cinema, Edinburgh, UK","Queen performed at Caley Cinema in Edinburgh, UK.",1973-11-25,ExactDate,Concert,30,Curated,queenconcerts-57,https://www.queenconcerts.com/detail/live/57/queen-live-25-11-1973-caley-cinema-edinburgh-uk.html
"Queen at Opera House, Manchester, UK","Queen performed at Opera House in Manchester, UK.",1973-11-26,ExactDate,Concert,30,Curated,queenconcerts-58,https://www.queenconcerts.com/detail/live/58/queen-live-26-11-1973-opera-house-manchester-uk.html
"Queen at Town Hall, Birmingham, UK","Queen performed at Town Hall in Birmingham, UK.",1973-11-27,ExactDate,Concert,30,Curated,queenconcerts-59,https://www.queenconcerts.com/detail/live/59/queen-live-27-11-1973-town-hall-birmingham-uk.html
"Queen at Brangwyn Hall, Swansea, UK","Queen performed at Brangwyn Hall in Swansea, UK.",1973-11-28,ExactDate,Concert,30,Curated,queenconcerts-60,https://www.queenconcerts.com/detail/live/60/queen-live-28-11-1973-brangwyn-hall-swansea-uk.html
"Queen at Colston Hall, Bristol, UK","Queen performed at Colston Hall in Bristol, UK.",1973-11-29,ExactDate,Concert,30,Curated,queenconcerts-61,https://www.queenconcerts.com/detail/live/61/queen-live-29-11-1973-colston-hall-bristol-uk.html
"Queen at Winter Gardens, Bournemouth, UK","Queen performed at Winter Gardens in Bournemouth, UK.",1973-11-30,ExactDate,Concert,30,Curated,queenconcerts-62,https://www.queenconcerts.com/detail/live/62/queen-live-30-11-1973-winter-gardens-bournemouth-uk.html
"Queen at Kursaal, Southend, UK","Queen performed at Kursaal in Southend, UK.",1973-12-01,ExactDate,Concert,30,Curated,queenconcerts-63,https://www.queenconcerts.com/detail/live/63/queen-live-01-12-1973-kursaal-southend-uk.html
"Queen at Central, Chatham, UK","Queen performed at Central in Chatham, UK.",1973-12-02,ExactDate,Concert,30,Curated,queenconcerts-64,https://www.queenconcerts.com/detail/live/64/queen-live-02-12-1973-central-chatham-uk.html
"Queen at College, Cheltenham, UK","Queen performed at College in Cheltenham, UK.",1973-12-06,ExactDate,Concert,30,Curated,queenconcerts-65,https://www.queenconcerts.com/detail/live/65/queen-live-06-12-1973-college-cheltenham-uk.html
"Queen at Shaftesbury Hall, Cheltenham, UK","Queen performed at Shaftesbury Hall in Cheltenham, UK.",1973-12-07,ExactDate,Concert,30,Curated,queenconcerts-66,https://www.queenconcerts.com/detail/live/66/queen-live-07-12-1973-shaftesbury-hall-cheltenham-uk.html
"Queen at University, Liverpool, UK","Queen performed at University in Liverpool, UK.",1973-12-08,ExactDate,Concert,30,Curated,queenconcerts-67,https://www.queenconcerts.com/detail/live/67/queen-live-08-12-1973-university-liverpool-uk.html
"Queen at University, Leicester, UK","Queen performed at University in Leicester, UK.",1973-12-15,ExactDate,Concert,30,Curated,queenconcerts-69,https://www.queenconcerts.com/detail/live/69/queen-live-15-12-1973-university-leicester-uk.html
"Queen at County Ballroom, Taunton, UK","Queen performed at County Ballroom in Taunton, UK.",1973-12-21,ExactDate,Concert,30,Curated,queenconcerts-70,https://www.queenconcerts.com/detail/live/70/queen-live-21-12-1973-county-ballroom-taunton-uk.html
"Queen at Top Rank Club, Liverpool, UK","Queen performed at Top Rank Club in Liverpool, UK.",1973-12-28,ExactDate,Concert,30,Curated,queenconcerts-72,https://www.queenconcerts.com/detail/live/72/queen-live-28-12-1973-top-rank-club-liverpool-uk.html
"Queen at private farm, Sunbury, Australia","Queen performed at private farm in Sunbury, Australia.",1974-01-27,ExactDate,Concert,30,Curated,queenconcerts-73,https://www.queenconcerts.com/detail/live/73/queen-live-27-01-1974-private-farm-sunbury-australia.html
"Queen at Friars, Aylesbury, UK","Queen performed at Friars in Aylesbury, UK.",1974-03-02,ExactDate,Concert,30,Curated,queenconcerts-75,https://www.queenconcerts.com/detail/live/75/queen-live-02-03-1974-friars-aylesbury-uk.html
"Queen at Guildhall, Plymouth, UK","Queen performed at Guildhall in Plymouth, UK.",1974-03-03,ExactDate,Concert,30,Curated,queenconcerts-76,https://www.queenconcerts.com/detail/live/76/queen-live-03-03-1974-guildhall-plymouth-uk.html
"Queen at Festival Hall, Paignton, UK","Queen performed at Festival Hall in Paignton, UK.",1974-03-04,ExactDate,Concert,30,Curated,queenconcerts-77,https://www.queenconcerts.com/detail/live/77/queen-live-04-03-1974-festival-hall-paignton-uk.html
"Queen at Locarno, Sunderland, UK","Queen performed at Locarno in Sunderland, UK.",1974-03-08,ExactDate,Concert,30,Curated,queenconcerts-78,https://www.queenconcerts.com/detail/live/78/queen-live-08-03-1974-locarno-sunderland-uk.html
"Queen at Corn Exchange, Cambridge, UK","Queen performed at Corn Exchange in Cambridge, UK.",1974-03-09,ExactDate,Concert,30,Curated,queenconcerts-79,https://www.queenconcerts.com/detail/live/79/queen-live-09-03-1974-corn-exchange-cambridge-uk.html
"Queen at Greyhound, Croydon, UK","Queen performed at Greyhound in Croydon, UK.",1974-03-10,ExactDate,Concert,30,Curated,queenconcerts-80,https://www.queenconcerts.com/detail/live/80/queen-live-10-03-1974-greyhound-croydon-uk.html
"Queen at Dagenham Roundhouse, Dagenham, UK","Queen performed at Dagenham Roundhouse in Dagenham, UK.",1974-03-12,ExactDate,Concert,30,Curated,queenconcerts-81,https://www.queenconcerts.com/detail/live/81/queen-live-12-03-1974-dagenham-roundhouse-dagenham-uk.html
"Queen at Queen Margaret Union, University of Glasgow, Glasgow, UK","Queen performed at Queen Margaret Union, University of Glasgow in Glasgow, UK.",1974-03-15,ExactDate,Concert,30,Curated,queenconcerts-83,https://www.queenconcerts.com/detail/live/83/queen-live-15-03-1974-queen-margaret-union-university-of-glasgow-glasgow-uk.html
"Queen at University, Stirling, UK","Queen performed at University in Stirling, UK.",1974-03-16,ExactDate,Concert,30,Curated,queenconcerts-84,https://www.queenconcerts.com/detail/live/84/queen-live-16-03-1974-university-stirling-uk.html
"Queen at Winter Gardens, Cleethorpes, UK","Queen performed at Winter Gardens in Cleethorpes, UK.",1974-03-19,ExactDate,Concert,30,Curated,queenconcerts-85,https://www.queenconcerts.com/detail/live/85/queen-live-19-03-1974-winter-gardens-cleethorpes-uk.html
"Queen at University, Manchester, UK","Queen performed at University in Manchester, UK.",1974-03-20,ExactDate,Concert,30,Curated,queenconcerts-86,https://www.queenconcerts.com/detail/live/86/queen-live-20-03-1974-university-manchester-uk.html
"Queen at The Paddocks, Canvey Island, UK","Queen performed at The Paddocks in Canvey Island, UK.",1974-03-22,ExactDate,Concert,30,Curated,queenconcerts-87,https://www.queenconcerts.com/detail/live/87/queen-live-22-03-1974-the-paddocks-canvey-island-uk.html
"Queen at Links Pavilion, Cromer, UK","Queen performed at Links Pavilion in Cromer, UK.",1974-03-23,ExactDate,Concert,30,Curated,queenconcerts-88,https://www.queenconcerts.com/detail/live/88/queen-live-23-03-1974-links-pavilion-cromer-uk.html
